category,model,seed,depth,target_coverage,n_cal,n_eval,m,k_star,achievable,empirical_coverage,effective_set_size,ceiling_recall_eval,ceiling_recall_all
Sports_and_Outdoors,sasrec,44,100,0.2,17799,17799,3560,101,False,,,0.16180684308107196,0.1633518737007697
Sports_and_Outdoors,sasrec,44,100,0.25,17799,17799,4450,101,False,,,0.16180684308107196,0.1633518737007697
Sports_and_Outdoors,sasrec,44,100,0.3,17799,17799,5340,101,False,,,0.16180684308107196,0.1633518737007697
Sports_and_Outdoors,marius,42,100,0.04,17799,17799,712,8,True,0.04045171077026799,7.999831451205124,0.17416708803865386,0.17675150289342098
Sports_and_Outdoors,marius,42,100,0.06,17799,17799,1068,15,True,0.05792460250575875,14.998483060846114,0.17416708803865386,0.17675150289342098
Sports_and_Outdoors,marius,42,100,0.08,17799,17799,1424,23,True,0.0770267992583853,22.99550536546997,0.17416708803865386,0.17675150289342098
Sports_and_Outdoors,marius,42,100,0.1,17799,17799,1780,32,True,0.09371312995112085,31.98898814540143,0.17416708803865386,0.17675150289342098
Sports_and_Outdoors,marius,42,100,0.12,17799,17799,2136,45,True,0.11332097308837576,44.96848137535817,0.17416708803865386,0.17675150289342098
Sports_and_Outdoors,marius,42,100,0.15,17799,17799,2670,69,True,0.14242373167031855,68.89302769818529,0.17416708803865386,0.17675150289342098
Sports_and_Outdoors,marius,42,100,0.2,17799,17799,3560,101,False,,,0.17416708803865386,0.17675150289342098
Sports_and_Outdoors,marius,42,100,0.25,17799,17799,4450,101,False,,,0.17416708803865386,0.17675150289342098
Sports_and_Outdoors,marius,42,100,0.3,17799,17799,5340,101,False,,,0.17416708803865386,0.17675150289342098
Sports_and_Outdoors,marius,43,100,0.04,17799,17799,712,8,True,0.038710039889881455,7.9998876341367495,0.17607730771391653,0.17849317377380752
Sports_and_Outdoors,marius,43,100,0.06,17799,17799,1068,14,True,0.056295297488622956,13.999213438957245,0.17607730771391653,0.17849317377380752
Sports_and_Outdoors,marius,43,100,0.08,17799,17799,1424,22,True,0.07579077476262712,21.997190853418733,0.17607730771391653,0.17849317377380752
Sports_and_Outdoors,marius,43,100,0.1,17799,17799,1780,32,True,0.09511770324175516,31.99162874318782,0.17607730771391653,0.17849317377380752
Sports_and_Outdoors,marius,43,100,0.12,17799,17799,2136,44,True,0.11292769256699814,43.97404348558908,0.17607730771391653,0.17849317377380752
Sports_and_Outdoors,marius,43,100,0.15,17799,17799,2670,68,True,0.14433395134558122,67.89999438170683,0.17607730771391653,0.17849317377380752
Sports_and_Outdoors,marius,43,100,0.2,17799,17799,3560,101,False,,,0.17607730771391653,0.17849317377380752
Sports_and_Outdoors,marius,43,100,0.25,17799,17799,4450,101,False,,,0.17607730771391653,0.17849317377380752
Sports_and_Outdoors,marius,43,100,0.3,17799,17799,5340,101,False,,,0.17607730771391653,0.17849317377380752
Sports_and_Outdoors,marius,44,100,0.04,17799,17799,712,8,True,0.038541491095005334,7.999719085341873,0.1724816000898927,0.1773133322096747
Sports_and_Outdoors,marius,44,100,0.06,17799,17799,1068,13,True,0.05387943142873195,12.99865160964099,0.1724816000898927,0.1773133322096747
Sports_and_Outdoors,marius,44,100,0.08,17799,17799,1424,22,True,0.07534131130962414,21.99505590201697,0.1724816000898927,0.1773133322096747
Sports_and_Outdoors,marius,44,100,0.1,17799,17799,1780,32,True,0.09388167874599697,31.98943760885443,0.1724816000898927,0.1773133322096747
Sports_and_Outdoors,marius,44,100,0.12,17799,17799,2136,44,True,0.11326479015675038,43.97291982695657,0.1724816000898927,0.1773133322096747
